,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
1176,2006,268584,II 2004 – 2008 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Kia ,Sportage ,,2.0 LTR ,112, Дизель,5,565000,0
1177,2016,96183,I Рестайлинг 2015 – 2017 ,внедорожник 5 дв.,красный,автоматическая,полный,Левый,1 владелец,Оригинал,Mazda ,CX-5 ,,2.5 LTR ,192, Бензин,5,1629000,0
1178,2010,217000,II 2007 – 2011 ,внедорожник 5 дв.,серый,вариатор,полный,Левый,1 владелец,Оригинал,Nissan ,X-Trail ,,2.5 LTR ,169, Бензин,5,949000,0
1179,2014,124000,150 Series Рестайлинг 1 2013 – 2017 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,2 владельца,Оригинал,Toyota ,Land Cruiser Prado ,,4.0 LTR ,282, Бензин,5,3149000,0
1180,2012,267000,II (A5) Рестайлинг 2008 – 2013 ,универсал 5 дв.,белый,роботизированная,передний,Левый,2 владельца,Оригинал,Skoda ,Octavia ,,2.0 LTR ,140, Дизель,5,665000,0
1181,2008,157000,II 2006 – 2010 ,внедорожник 5 дв.,красный,автоматическая,полный,Левый,3 или более,Дубликат,Land Rover ,Freelander ,,2.2 LTR ,152, Дизель,5,769000,0
1182,2010,217000,II 2007 – 2011 ,внедорожник 5 дв.,серый,вариатор,полный,Левый,1 владелец,Оригинал,Nissan ,X-Trail ,,2.5 LTR ,169, Бензин,5,949000,0
1183,2012,77523,D Рестайлинг II 2011 – 2014 ,хэтчбек 5 дв.,белый,механическая,передний,Левый,2 владельца,Оригинал,Opel ,Corsa ,,1.2 LTR ,85, Бензин,5,399000,0
1184,2003,250000,I (C5) 2000 – 2006 ,универсал 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,Audi ,A6 allroad ,,2.7 LTR ,250, Бензин,5,570000,0
1185,2013,83000,III 2011 – 2015 ,седан,серый,автоматическая,передний,Левый,3 или более,Дубликат,Kia ,Rio ,,1.4 LTR ,107, Бензин,4,500000,0
